,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",418452,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
56,"Good Looking","Suki Waterhouse",413767,https://open.spotify.com/track/5ZjV4yevHO1QhMw8AjyQbZ
57,"Dark Red","Steve Lacy",413749,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
58,"Cold Heart - PNAU Remix","Elton John",411628,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
59,"I Love You So","The Walters",409416,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
60,"Super Gremlin","Kodak Black",408073,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
61,"THATS WHAT I WANT","Lil Nas X",403909,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
62,"I'd Do Anything To Make You Smile","Jack Harlow",395797,https://open.spotify.com/track/7Bot6AB2dsvZEyqzUL8AUH
63,"MIDDLE OF THE NIGHT","Elley Duhé",391524,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
64,"See You Again (feat. Kali Uchis)","Tyler, The Creator",388938,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
65,MAMIII,"Becky G",388571,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
66,Boyfriend,"Dove Cameron",386621,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
67,"Kiss Me More (feat. SZA)","Doja Cat",385545,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
68,"10 Things I Hate About You","Leah Kate",385085,https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH
69,"Money Trees","Kendrick Lamar",382364,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
70,Shivers,"Ed Sheeran",376832,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
71,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",376655,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
72,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",375247,https://open.spotify.com/track/7qTaDOcld0VmBWXnkbUj45
73,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",373531,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
74,D.M.B.,"A$AP Rocky",365762,https://open.spotify.com/track/7IBLt4Qarf4JDLxIQDv2O5
75,"I Got A Shot","Jack Harlow",365516,https://open.spotify.com/track/5hNsSrWcClSp0tg4Jdd4UY
76,traitor,"Olivia Rodrigo",365159,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
77,"Monëy so big",Yeat,362923,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
78,"Young Harleezy","Jack Harlow",356860,https://open.spotify.com/track/4CuZSJLlmUrEfcXUm6pQk9
79,"Wants and Needs (feat. Lil Baby)",Drake,350383,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
80,"Movie Star (feat. Pharrell Williams)","Jack Harlow",350163,https://open.spotify.com/track/3u8bblcJtOxxmGzJrviWLp
81,"Whiskey Glasses","Morgan Wallen",341384,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
82,"20 Min","Lil Uzi Vert",335915,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
83,"Side Piece","Jack Harlow",334207,https://open.spotify.com/track/0203aGEIzVVlmvQ8lX4fmV
84,"Tek It",Cafuné,332166,https://open.spotify.com/track/751srcHf5tUqcEa9pRCQwP
85,"Big Energy",Latto,332005,https://open.spotify.com/track/4pi1G1x8tl9VfdD9bL3maT
86,"deja vu","Olivia Rodrigo",329460,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
87,Lost,"Frank Ocean",327256,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
88,"Right On","Lil Baby",322991,https://open.spotify.com/track/6ws54n2IzyrIxxyzlG2bVJ
89,Flowers,"Lauren Spencer-Smith",321256,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
90,"Like A Blade Of Grass","Jack Harlow",320736,https://open.spotify.com/track/22xea6Z2a8BbyVeCksSBX9
91,"One Right Now (with The Weeknd)","Post Malone",319780,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
92,"Levitating (feat. DaBaby)","Dua Lipa",319698,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
93,"Die For You","The Weeknd",317163,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
94,712PM,Future,316001,https://open.spotify.com/track/3FSwpQ9dBZBeBV6UdYHI2R
95,"The Spins","Mac Miller",314832,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
96,"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat",313001,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF
97,"Light Switch","Charlie Puth",312238,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
98,"Watermelon Sugar","Harry Styles",308758,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
99,"Happier Than Ever","Billie Eilish",308234,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
100,"Bound 2","Kanye West",307176,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
101,"NEW MAGIC WAND","Tyler, The Creator",306735,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
102,"Poison (feat. Lil Wayne)","Jack Harlow",304778,https://open.spotify.com/track/1hs54MGy1J69I52GvzsrbB
103,Heartless,"Kanye West",304517,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
104,"Wildest Dreams (Taylor's Version)","Taylor Swift",301227,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
105,"Talk Of The Town","Jack Harlow",300121,https://open.spotify.com/track/7qFtkIa3KfhJAlWLVE1GCI
106,"In The Stars","Benson Boone",298673,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
107,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",296751,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
108,"Flashing Lights","Kanye West",295863,https://open.spotify.com/track/5TRPicyLGbAF2LGBFbHGvO
109,abcdefu,GAYLE,295506,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
110,"Numb Little Bug","Em Beihold",292553,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
111,"Wet Dreamz","J. Cole",292482,https://open.spotify.com/track/4tqcoej1zPvwePZCzuAjJd
112,"Easy On Me",Adele,292416,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
113,"Blinding Lights","The Weeknd",291431,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
114,"drivers license","Olivia Rodrigo",290340,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
115,"Mr. Brightside","The Killers",288802,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
116,"Sand In My Boots","Morgan Wallen",288710,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
117,Dandelions,"Ruth B.",284861,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
118,HUMBLE.,"Kendrick Lamar",283270,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
119,"'Til You Can't","Cody Johnson",282952,https://open.spotify.com/track/4k3lPl8YTKuY8c1HelVnm3
120,"Parent Trap (feat. Justin Timberlake)","Jack Harlow",282569,https://open.spotify.com/track/4obgLgDkkjoGpRMa9lyFWW
121,"Lil Secret","Jack Harlow",281447,https://open.spotify.com/track/7ky2X6PAaUZTQjaDniHRot
122,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,281275,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
123,"Flower Shops (feat. Morgan Wallen)",ERNEST,280295,https://open.spotify.com/track/0De9jFjJ4eRLl7Yww2eBw1
124,"In My Head","Lil Tjay",279998,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
125,Revenge,XXXTENTACION,279984,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
126,RAPSTAR,"Polo G",279546,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
